Model,Data,AUC,Accuracy,Precision,Recall,MSE,R2,Conf matrix
SVM RBF,OM,0.9101382488479263,0.7780320366132724,0.910958904109589,0.6129032258064516,0.2219679633867277,0.11208630079597814,"[[207  13]
 [ 84 133]]"
Regresión Logistica,OM,0.8101382488479263,0.7185354691075515,0.7098214285714286,0.7327188940092166,0.2814645308924485,-0.12591118558860503,"[[155  65]
 [ 58 159]]"
Boost Regresión Logistica,OM,0.8114160033514872,0.7231121281464531,0.7086956521739131,0.7511520737327189,0.2768878718535469,-0.10760368663594488,"[[153  67]
 [ 54 163]]"
Random Forest,OM,0.8600754084625051,0.782608695652174,0.8144329896907216,0.728110599078341,0.21739130434782608,0.1303937997486383,"[[184  36]
 [ 59 158]]"
Regresión lineal elastic net,OM,0.807875994972769,0.7093821510297483,0.7064220183486238,0.7096774193548387,0.2906178489702517,-0.16252618349392556,"[[156  64]
 [ 63 154]]"
SVM RBF,AM,0.9342270632593214,0.8581235697940504,0.9015544041450777,0.8018433179723502,0.14187643020594964,0.43246753246753245,"[[201  19]
 [ 43 174]]"
Regresión Logistica,AM,0.8809593632174276,0.7848970251716247,0.7733333333333333,0.8018433179723502,0.2151029748283753,0.13954754922496848,"[[169  51]
 [ 43 174]]"
Boost Regresión Logistica,AM,0.8841013824884792,0.7803203661327232,0.7619047619047619,0.8110599078341014,0.21967963386727687,0.12124005027230822,"[[165  55]
 [ 41 176]]"
Random Forest,AM,0.9481985756179306,0.8787185354691075,0.9019607843137255,0.847926267281106,0.12128146453089245,0.5148512777545036,"[[200  20]
 [ 33 184]]"
Regresión lineal elastic net,AM,0.807875994972769,0.7871853546910755,0.7627118644067796,0.8294930875576036,0.2128146453089245,0.14870129870129856,"[[164  56]
 [ 37 180]]"
SVM RBF,O,0.8952398350644607,0.875,1.0,0.029411764705882353,0.125,-0.1140664961636828,"[[1610    0]
 [ 231    7]]"
Regresión Logistica,O,0.7978182577378777,0.9015151515151515,0.7916666666666666,0.31932773109243695,0.09848484848484848,0.12225063938618919,"[[1590   20]
 [ 162   76]]"
Boost Regresión Logistica,O,0.801114358786993,0.8912337662337663,0.7761194029850746,0.2184873949579832,0.10876623376623376,0.030617464377055148,"[[1595   15]
 [ 186   52]]"
Random Forest,O,0.8516689284409416,0.8744588744588745,1.0,0.025210084033613446,0.12554112554112554,-0.11888929484837418,"[[1610    0]
 [ 232    6]]"
Regresión lineal elastic net,O,0.7741922856098961,0.8782467532467533,0.8421052631578947,0.06722689075630252,0.12175324675324675,-0.08512970405553522,"[[1607    3]
 [ 222   16]]"
SVM RBF,A,0.9362675504984602,0.8901515151515151,0.972972972972973,0.15126050420168066,0.10984848484848485,0.020971867007672618,"[[1609    1]
 [ 202   36]]"
Regresión Logistica,A,0.889780259930059,0.9188311688311688,0.8142857142857143,0.4789915966386555,0.08116883116883117,0.2765801972963098,"[[1584   26]
 [ 124  114]]"
Boost Regresión Logistica,A,0.8882300746385511,0.9128787878787878,0.7894736842105263,0.4411764705882353,0.08712121212121213,0.22352941176470587,"[[1582   28]
 [ 133  105]]"
Random Forest,A,0.9429693616577066,0.933982683982684,0.9142857142857143,0.5378151260504201,0.06601731601731602,0.4116185604676653,"[[1598   12]
 [ 110  128]]"
Regresión lineal elastic net,A,0.8785766480505246,0.9069264069264069,0.9852941176470589,0.2815126050420168,0.09307359307359307,0.17047862623310195,"[[1609    1]
 [ 171   67]]"
